resume_text,category
"Hands-on experience with structural analysis, AutoCAD, construction management, surveying in bridge design, including quality control, vendor coordination, BOQ preparation. Additional keywords: structural analysis RCC design.",Civil Engineering
"Professional background includes React, JavaScript, Django, Flask, API layer, and strong emphasis on code review, unit testing, CI/CD. Additional keywords: Django Java.",Software Engineering
"Built and improved audit process by applying forecasting, financial modeling, risk analysis, taxation and compliance review, cost optimization, KPI tracking. Additional keywords: forecasting accounting.",Finance
"SolidWorks, mechanical design, CAD, GD&T focused on machine component with experience in process optimization, problem solving, stakeholder communication. Additional keywords: mechanical design GD&T.",Mechanical Engineering
"Built and improved recommendation engine by applying machine learning, PyTorch, deep learning, NLP and presentation skills, feature selection, hyperparameter optimization. Additional keywords: computer vision PyTorch.",AI/ML
"taxation, accounting, budgeting, financial modeling focused on portfolio model with experience in cost optimization, stakeholder communication, documentation. Additional keywords: forecasting valuation.",Finance
"Professional background includes healthcare analytics, medical imaging, clinical research, PCR, device validation, and strong emphasis on regulatory documentation, equipment testing, documentation. Additional keywords: bioinformatics MATLAB.",Biomedical
"Professional background includes manufacturing, mechanical design, CAD, FMEA, product design, and strong emphasis on technical writing, quality inspection, technical drawing. Additional keywords: AutoCAD GD&T.",Mechanical Engineering
"Hands-on experience with taxation, valuation, Excel, budgeting in financial report, including presentation skills, cash flow planning, compliance review. Additional keywords: financial modeling budgeting.",Finance
"Hands-on experience with Pandas, model evaluation, SQL, scikit-learn in prediction pipeline, including dashboard reporting, exploratory analysis, data wrangling. Additional keywords: NumPy data visualization.",Data Science
"Worked on recommendation engine using Python, NLP, computer vision, deep learning and delivered results through MLOps, feature selection, training pipeline. Additional keywords: machine learning computer vision.",AI/ML
"Professional background includes AutoCAD, CAD, manufacturing, MATLAB, product design, and strong emphasis on problem solving, tolerance stack-up, technical drawing. Additional keywords: MATLAB CAD.",Mechanical Engineering
"Hands-on experience with Revit, surveying, site execution, RCC design in building project, including business analysis, vendor coordination, BOQ preparation. Additional keywords: AutoCAD construction management.",Civil Engineering
"Worked on digital campaign using campaign planning, content strategy, Google Analytics, brand management and delivered results through business analysis, performance reporting, stakeholder communication. Additional keywords: Google Analytics brand management.",Marketing
"Built and improved microservices platform by applying Java, Git, Docker, React and unit testing, cloud deployment, code review. Additional keywords: JavaScript Docker.",Software Engineering
"Professional background includes campaign planning, brand management, Google Analytics, SEO, brand launch, and strong emphasis on problem solving, audience segmentation, market research. Additional keywords: SEO Google Analytics.",Marketing
"Hands-on experience with CAD, SolidWorks, AutoCAD, manufacturing in thermal system, including technical drawing, cross-functional collaboration, documentation. Additional keywords: AutoCAD FMEA.",Mechanical Engineering
"GD&T, CAD, MATLAB, mechanical design focused on manufacturing line with experience in documentation, finite element analysis, process optimization. Additional keywords: FMEA mechanical design.",Mechanical Engineering
"scikit-learn, data visualization, Pandas, NumPy focused on analytics dashboard with experience in business analysis, dashboard reporting, A/B testing. Additional keywords: statistics Python.",Data Science
"Professional background includes SolidWorks, FMEA, MATLAB, AutoCAD, manufacturing line, and strong emphasis on process improvement, process optimization, technical writing. Additional keywords: manufacturing mechanical design.",Mechanical Engineering
"Professional background includes Python, statistics, scikit-learn, Pandas, analytics dashboard, and strong emphasis on exploratory analysis, presentation skills, data wrangling. Additional keywords: model evaluation scikit-learn.",Data Science
"Worked on investment analysis using valuation, Excel, taxation, budgeting and delivered results through variance analysis, compliance review, cost optimization. Additional keywords: accounting forecasting.",Finance
"Hands-on experience with Git, Flask, Django, REST APIs in backend service, including cloud deployment, code review, process improvement. Additional keywords: Django Python.",Software Engineering
"Flask, React, Git, SQL focused on API layer with experience in agile delivery, code review, unit testing. Additional keywords: REST APIs Django.",Software Engineering
